INCIDENT_NUMBER,Lat,Long,my_colours
I172050054,42.32647732,-71.08261472,blue
I172000069,42.32269854,-71.06699941,blue
I172025074,42.31993295,-71.08157395,blue
I172089559,42.30288092,-71.08523964,orange
I172059160,42.31705299,-71.06521384,blue
I172008721,42.30028028,-71.06015261,purple
I172029349,42.31004031,-71.11432217,red
I172043737,42.30775024,-71.08273084,purple
I172010023,42.28455435,-71.08620871,orange
I172020993,42.32016095,-71.0777729,blue
I172081290,42.32353079,-71.11227168,red
I172048962,42.28555413,-71.08245623,orange
I172046706,42.28245007,-71.08367859,orange
I172049482,42.29225867,-71.05020454,purple
I172068664,42.34044735,-71.08188142,pink
I172000363,42.31614182,-71.09833064,red
I172000652,42.32773866,-71.07514869,blue
I172048031,42.28906502,-71.06703817,purple
I172101092,42.3276156,-71.07285692,blue
I172096588,42.28913147,-71.09293028,orange
I172008573,42.33560666,-71.04526922,green
I172026679,42.30498592,-71.07514582,purple
I172083848,42.36433126,-71.06319318,yellow
I172098653,42.30006791,-71.08430796,orange
I172050761,42.3174536,-71.07327858,blue
I172074262,42.32407281,-71.11352472,red
I172017504,42.35724324,-71.05849672,yellow
I172075220,42.2855997,-71.0507379,purple
I172039872,42.30287064,-71.06399249,purple
I172070852,42.34396866,-71.100013,pink
I172088360,42.3241465,-71.07959272,blue
I172098457,42.31829614,-71.07513881,blue
I172023457,42.31075815,-71.0687185,purple
I172081038,42.31408461,-71.11627929,red
I172078850,42.32809966,-71.06321676,green
I172047201,42.31685456,-71.07457617,blue
I172088178,42.29604546,-71.05635478,purple
I172016343,42.28223905,-71.09162956,orange
I172015630,42.27064206,-71.09587908,orange
I172019167,42.31840696,-71.0763541,blue
I172104939,42.31275031,-71.09388736,blue
I172064815,42.36394509,-71.05942841,yellow
I172044569,42.32511407,-71.0645767,green
I172094299,42.28054284,-71.0637544,purple
I172052354,42.35218278,-71.0556788,yellow
I172063526,42.33586257,-71.05566936,green
I172050316,42.30652202,-71.0629361,purple
I172006014,42.32779976,-71.06771009,green
I172035604,42.2794454,-71.07270114,orange
I172061480,42.34660366,-71.09497996,pink
I172013868,42.29273124,-71.05886116,purple
I172085124,42.30132884,-71.10963274,red
I172081035,42.27273548,-71.06792411,purple
I172072439,42.34662361,-71.08740594,pink
I172032729,42.33963015,-71.05260912,green
I172037886,42.29686162,-71.08584183,orange
I172020495,42.28508809,-71.08789462,orange
I172006450,42.31828902,-71.06265046,purple
I172055516,42.28803226,-71.08014429,orange
I172092316,42.33998273,-71.080974,pink
I172107191,42.31137341,-71.09151624,blue
I172070909,42.31461619,-71.06721024,purple
I172066817,42.35238612,-71.05799184,yellow
I172097002,42.3166175,-71.06407827,blue
I172079725,42.29597658,-71.0793399,orange
I172074071,42.30938437,-71.08262277,blue
I172106129,42.32388203,-71.06802956,blue
I172001889,42.31305851,-71.07131286,blue
I172017040,42.3398942,-71.03554286,green
I172025560,42.35884809,-71.05792834,yellow
I172014647,42.27967492,-71.08381263,orange
I172020792,42.29147791,-71.06486888,purple
I172069112,42.33321208,-71.0301811,green
I172054230,42.33416161,-71.07989104,pink
I172014087,42.32066534,-71.10004987,red
I172065942,42.33381437,-71.04284935,green
I172058222,42.30896999,-71.08284839,blue
I172091110,42.29546039,-71.11649504,red
I172007480,42.34877575,-71.09606805,pink
I172035819,42.29351144,-71.07778767,orange
I172074039,42.30812619,-71.07692974,blue
I172083579,42.3483427,-71.0722253,pink
I172022623,42.3078214,-71.08354076,blue
I172069201,42.27869851,-71.07593573,orange
I172000177,42.31460733,-71.0883245,blue
I172089919,42.349155,-71.09392109,pink
I172008017,42.29734057,-71.05641305,purple
I172063046,42.30149207,-71.05792413,purple
I172050566,42.28634708,-71.07954782,orange
I172106615,42.32525618,-71.07922845,blue
I172099131,42.31043385,-71.10849101,red
I172048192,42.33331285,-71.07322932,pink
I172050987,42.3465382,-71.09880598,pink
I172030206,42.35238612,-71.05799184,yellow
I172060759,42.26922278,-71.09384023,orange
I172077992,42.33536755,-71.05081638,green
I172081540,42.28943324,-71.0605219,purple
I172071820,42.32809966,-71.06321676,blue
I172105940,42.32364847,-71.11094047,red
I172063921,42.31013569,-71.0702931,purple
I172056308,42.28690413,-71.06398433,purple
I172053898,42.29142177,-71.07611259,orange
I172025084,42.3078214,-71.08354076,blue
I172064200,42.30443502,-71.06862907,purple
I172020559,42.30175909,-71.0795516,orange
I172084260,42.336112,-71.04665434,green
I172093308,42.2729449,-71.09348933,orange
I172052618,42.29708829,-71.09095546,orange
I172019451,42.28026861,-71.05566181,purple
I172047601,42.33660237,-71.04935735,green
I172083615,42.29040923,-71.07693574,orange
I172093799,42.33676619,-71.08205122,pink
I172091632,42.30938437,-71.08262277,blue
I172017782,42.31689952,-71.07805727,blue
I172043377,42.35699358,-71.06580186,yellow
I172039386,42.33370245,-71.05435448,green
I172041054,42.33760149,-71.04683835,green
I172046255,42.30952511,-71.08261838,blue
I172016888,42.34402658,-71.06206392,pink
I172104617,42.30858147,-71.0835504,blue
I172062278,42.35207238,-71.05975342,yellow
I172095044,42.33852947,-71.10768028,blue
I172035770,42.35919555,-71.05463831,yellow
I172004233,42.3465382,-71.09880598,pink
I172013161,42.33106756,-71.03524534,green
I172097109,42.31578,-71.066399,blue
I172013924,42.28518631,-71.09211276,orange
I172021747,42.32383349,-71.10602947,red
I172032906,42.31750481,-71.09661016,red
I172027766,42.33954199,-71.06940877,yellow
I172097596,42.35106637,-71.06549569,yellow
I172072429,42.33014678,-71.10444485,blue
I172107247,42.30942147,-71.07460029,blue
I172063799,42.29579246,-71.08025092,orange
I172106403,42.31776637,-71.08207709,blue
I172067787,42.30316091,-71.08515552,orange
I172077104,42.30396336,-71.05924636,purple
I172073364,42.35014256,-71.05973905,yellow
I172037768,42.28445914,-71.08930739,orange
I172019146,42.32809966,-71.06321676,green
I172101746,42.27071956,-71.10189851,orange
I172060882,42.33536755,-71.05081638,green
I172094622,42.28034314,-71.05474538,purple
I172070567,42.30485418,-71.08347851,blue
I172067840,42.2984725,-71.048386,purple
I172104729,42.28065674,-71.07062426,purple
I172067177,42.33090135,-71.05415731,green
I172008764,42.27967492,-71.08381263,orange
I172091741,42.32396791,-71.07117658,blue
I172059998,42.33841441,-71.07679741,pink
I172005219,42.30468252,-71.05627865,purple
I172034398,42.33154595,-71.03116255,green
I172082190,42.30512949,-71.11461873,red
I172032805,42.3490071,-71.0767683,pink
I172033363,42.34974111,-71.05801618,yellow
I172056284,42.31633855,-71.06879992,blue
I172078969,42.27230624,-71.06721386,purple
I172003729,42.31935305,-71.05592602,purple
I172094056,42.30952511,-71.08261838,blue
I172058838,42.33094752,-71.08285104,blue
I172078197,42.29752097,-71.08502291,orange
I172064545,42.31485546,-71.0992241,red
I172064554,42.29798785,-71.06506647,purple
I172017717,42.27130225,-71.07442362,orange
I172005415,42.3578953,-71.05648542,yellow
I172027130,42.33951125,-71.10831096,blue
I172016566,42.28329468,-71.08824065,orange
I172045419,42.34840576,-71.08688339,pink
I172056205,42.32172962,-71.08677989,blue
I172089098,42.33326722,-71.05048119,green
I172000456,42.27990988,-71.06593996,purple
I172103804,42.30328747,-71.06363409,purple
I172020140,42.27885982,-71.07847073,orange
I172086136,42.32802585,-71.05691103,green
I172051820,42.31880537,-71.11214147,red
I172016896,42.31366395,-71.092029,blue
I172055015,42.35241815,-71.06525499,yellow
I172021763,42.29939553,-71.08300168,orange
I172068875,42.27913786,-71.06970635,purple
I172011003,42.28944045,-71.06327574,purple
I172068565,42.30225172,-71.07935688,orange
I172037495,42.3034337,-71.07154531,purple
I172050975,42.3562393,-71.06925727,yellow
I172061236,42.3530294,-71.05947745,yellow
I172051423,42.32936126,-71.08858102,blue
I172019421,42.352885,-71.056337,yellow
I172079924,42.28918711,-71.06973172,purple
I172020083,42.33175158,-71.0468167,green
I172093399,42.28104853,-71.0720644,orange
I172045983,42.30878855,-71.09055618,blue
I172034943,42.33785941,-71.06736986,pink
I172009402,42.34932471,-71.08014801,pink
I172015764,42.34130359,-71.07204669,pink
I172003289,42.30733393,-71.0763704,blue
I172019659,42.29465454,-71.07983266,orange
I172098604,42.33314815,-71.08467709,blue
I172088035,42.31364183,-71.06316493,purple
I172039463,42.33246399,-71.0787476,pink
I172023728,42.30573977,-71.06762362,purple
I172039422,42.33312966,-71.03530578,green
I172024851,42.28689263,-71.09047753,orange
I172037977,42.30824094,-71.08128527,blue
I172104970,42.29919694,-71.06046974,purple
I172006860,42.31427776,-71.05997267,purple
I172105298,42.32653564,-71.06665971,green
I172014101,42.32734083,-71.06732427,green
I172082587,42.31038717,-71.0805453,blue
I172081431,42.31694189,-71.10394558,red
I172073435,42.2971526,-71.08713668,orange
I172072668,42.3032717,-71.1251185,red
I172069587,42.3177917,-71.05905398,purple
I172024096,42.30540715,-71.06547135,purple
I172038434,42.30301051,-71.0818306,orange
I172092195,42.28635986,-71.09088284,orange
I172048015,42.29721224,-71.06104499,purple
I172035922,42.29044486,-71.08954147,orange
I172009597,42.34717651,-71.09433704,pink
I172022998,42.3525717,-71.0749163,pink
I172090992,42.30976163,-71.08386431,blue
I172078367,42.31168453,-71.05750327,purple
I172047328,42.30574304,-71.07851069,purple
I172027497,42.2840277,-71.06479191,purple
I172069955,42.28785272,-71.07803392,orange
I172104897,42.33915108,-71.04773134,green
I172087274,42.3290376,-71.05694505,green
I172077867,42.27154551,-71.06489438,purple
I172078309,42.33248759,-71.08365801,blue
I172050495,42.30538115,-71.08527061,blue
I172007997,42.31496145,-71.0895221,blue
I172079903,42.29710452,-71.08807731,orange
I172102108,42.31639061,-71.10722512,red
I172102412,42.30649283,-71.08180677,blue
I172038981,42.32429973,-71.07034884,blue
I172086549,42.28154388,-71.07350542,orange
I172073675,42.31295163,-71.07989658,blue
I172058837,42.30970016,-71.08582414,blue
I172022702,42.33744152,-71.10428096,blue
I172102035,42.35988372,-71.06016189,yellow
I172061027,42.34295139,-71.0831454,pink
I172029972,42.34358318,-71.09000353,pink
I172098064,42.29558507,-71.09158038,orange
I172021762,42.34238488,-71.09034878,pink
I172015093,42.30098889,-71.12708146,blue
I172004933,42.33645,-71.077028,pink
I172065424,42.35127543,-71.07550313,pink
I172045261,42.36398795,-71.0542625,yellow
I172086798,42.3009094,-71.11549365,red
I172000580,42.30970016,-71.08582414,blue
I172101037,42.33134833,-71.10322483,blue
I172083272,42.30971857,-71.10429432,red
I172081595,42.32882991,-71.08144379,blue
I172059958,42.32103493,-71.06348926,blue
I172003653,42.34815229,-71.08450821,pink
I172058983,42.30986434,-71.06259635,purple
I172056036,42.33992934,-71.08105852,pink
I172100661,42.2680362,-71.09484348,orange
I172009331,42.31011153,-71.0829899,blue
I172107256,42.3166617,-71.07634281,blue
I172076482,42.3276156,-71.07285692,blue
I172055777,42.35632205,-71.0556614,yellow
I172074316,42.34828759,-71.07891773,pink
I172094341,42.32901664,-71.08605153,blue
I172101501,42.33402461,-71.09039049,blue
I172104207,42.33218904,-71.04143652,green
I172014776,42.33049472,-71.07485767,blue
I172029520,42.34442266,-71.09833083,pink
I172099205,42.28756168,-71.09049685,orange
I172100961,42.33296171,-71.1104193,blue
I172093868,42.29693391,-71.08066576,orange
I172102830,42.3532601,-71.06283216,yellow
I172090821,42.2956968,-71.07214055,purple
I172093224,42.28860779,-71.09240612,orange
I172062065,42.31944532,-71.08780767,blue
I172077924,42.32469443,-71.10087902,red
I172002617,42.29993437,-71.11355693,red
I172030758,42.34010961,-71.0788244,pink
I172056984,42.31217254,-71.08297454,blue
I172100731,42.26857609,-71.09574826,orange
I172077346,42.34807438,-71.089853,pink
I172018051,42.33168201,-71.06798742,green
I172018856,42.29386305,-71.06123038,purple
I172055742,42.301898,-71.114466,red
I172018267,42.33393617,-71.05246224,green
I172057912,42.32004542,-71.08408182,blue
I172077278,42.32158344,-71.11213007,red
I172052414,42.29821908,-71.05704798,purple
I172097819,42.35311007,-71.06432264,yellow
I172052332,42.34952413,-71.07220428,pink
I172093680,42.3339251,-71.09409582,blue
I172101968,42.3252158,-71.07492178,blue
I172102329,42.2680362,-71.09484348,orange
I172090946,42.36022674,-71.0659773,yellow
I172028302,42.35027941,-71.10810328,pink
I172030776,42.34793854,-71.0880078,pink
I172002387,42.29083232,-71.07518493,orange
I172008847,42.28180186,-71.07601461,orange
I172056419,42.35803568,-71.0623396,yellow
I172042036,42.35205262,-71.0734441,pink
I172064192,42.33901097,-71.04789515,green
I172069767,42.29446096,-71.0524335,purple
I172034064,42.34907307,-71.04947981,green
I172044086,42.36569936,-71.05289203,yellow
I172086208,42.31431291,-71.05481059,purple
I172016961,42.35707553,-71.06543363,yellow
I172093209,42.33543317,-71.05705378,green
I172072253,42.30971857,-71.10429432,red
I172014878,42.33880788,-71.05083406,green
I172021385,42.33593698,-71.08008791,pink
I172042642,42.30983976,-71.10553022,red
I172097825,42.28702169,-71.08754609,orange
I172014890,42.29174127,-71.07717929,orange
I172037599,42.29916017,-71.11014131,red
I172061805,42.31630638,-71.05669059,purple
I172079126,42.34928287,-71.07689903,pink
I172080186,42.29734057,-71.05641305,purple
I172036245,42.28876736,-71.07289694,orange
I172015403,42.29479486,-71.04790629,purple
I172010851,42.36310826,-71.06031513,yellow
I172003533,42.35362593,-71.07666262,pink
I172066415,42.3043395,-71.08477887,blue
I172032368,42.31578,-71.066399,purple
I172100613,42.28828038,-71.07652688,orange
I172098349,42.27222808,-71.07006149,orange
I172081731,42.33275028,-71.03326242,green
I172049150,42.33317323,-71.0975054,blue
I172063875,42.34994662,-71.05892052,yellow
I172072477,42.33249638,-71.10004807,blue
I172031348,42.30085414,-71.0759605,purple
I172091921,42.35428377,-71.06380404,yellow
I172107300,42.28623708,-71.07768279,orange
I172026571,42.30481467,-71.07218295,purple
I172070954,42.33580652,-71.02506159,green
I172004784,42.28952022,-71.06531693,purple
I172100816,42.2818866,-71.0908705,orange
I172016988,42.3285094,-71.08043739,blue
I172099350,42.363806,-71.057674,yellow
I172074730,42.30503765,-71.10590886,red
I172003414,42.33548983,-71.07944652,pink
I172024156,42.29419725,-71.065228,purple
I172102310,42.27791465,-71.09452937,orange
I172106516,42.32832264,-71.07861091,blue
I172035666,42.30460308,-71.06691869,purple
I172071848,42.30178949,-71.05514183,purple
I172094514,42.32360912,-71.07617183,blue
I172106338,42.31674811,-71.11356249,red
I172051164,42.32121017,-71.10269808,red
I172094744,42.3018969,-71.08554944,orange
I172058083,42.29415023,-71.08175047,orange
I172042398,42.35196813,-71.08200943,pink
I172012021,42.31508518,-71.08508813,blue
I172106978,42.36406524,-71.06333709,yellow
I172038927,42.31844442,-71.10399969,red
I172088279,42.28410589,-71.04608937,purple
I172090437,42.34030433,-71.1099167,blue
I172003061,42.314744,-71.09376484,blue
I172036997,42.29993437,-71.11355693,red
I172082312,42.34828759,-71.07891773,pink
I172098340,42.28052142,-71.05401453,purple
I172036182,42.30971857,-71.10429432,red
I172030355,42.31133107,-71.08305264,blue
I172049694,42.36251648,-71.0706685,yellow
I172104292,42.30263978,-71.06038376,purple
I172065286,42.31943966,-71.09467467,blue
I172076667,42.32486826,-71.07867315,blue
I172040492,42.30859269,-71.06570888,purple
I172059709,42.32401179,-71.10892106,red
I172017065,42.30952511,-71.08261838,blue
I172075623,42.34402658,-71.06206392,pink
I172062502,42.28630097,-71.04373197,purple
I172066925,42.30956305,-71.08990197,blue
I172002856,42.32330193,-71.09859353,red
I172106559,42.28451756,-71.08723309,orange
I172014995,42.3361116,-71.04157269,green
I172070637,42.31126459,-71.07003979,purple
I172029382,42.35157076,-71.07186599,pink
I172097474,42.33210843,-71.07014395,green
I172001476,42.29792661,-71.08689609,orange
I172072462,42.29025219,-71.06304942,purple
I172018102,42.28168196,-71.09042871,orange
I172019669,42.29755533,-71.0597091,purple
I172050485,42.30576686,-71.08097517,blue
I172027990,42.31693516,-71.05296856,purple
I172093733,42.36156104,-71.05758234,yellow
I172066605,42.29070005,-71.06991285,purple
I172001832,42.30294389,-71.0782248,purple
I172017395,42.31836105,-71.07106326,blue
I172081596,42.28227907,-71.07131465,purple
I172066577,42.28866198,-71.06130524,purple
I172011177,42.30670301,-71.10726512,red
I172082947,42.3291585,-71.0659665,green
I172005230,42.32330193,-71.09859353,red
I172020504,42.37081805,-71.03929078,purple
I172013068,42.36439988,-71.05779141,yellow
I172001641,42.32147781,-71.07958202,blue
I172062668,42.32696647,-71.06198607,green
I172035592,42.29388577,-71.05696187,purple
I172003044,42.34946444,-71.14270449,red
I172050617,42.28229312,-71.08088944,orange
I172002457,42.29861988,-71.08511004,orange
I172086088,42.31492726,-71.05995455,purple
I172093504,42.26994732,-71.09380308,orange
I172101231,42.28370031,-71.04776143,purple
I172059430,42.33865383,-71.04696014,green
I172062062,42.33744115,-71.08057671,pink
I172023894,42.32854253,-71.09209204,blue
I172007311,42.33285585,-71.07262418,pink
I172025536,42.33330171,-71.08181675,blue
I172099947,42.34373406,-71.0741916,pink
I172032336,42.30356539,-71.07868148,purple
I172096112,42.34044966,-71.08845935,pink
I172012694,42.2871482,-71.06493039,purple
I172067576,42.33932485,-71.09937561,blue
I172052097,42.31671393,-71.08671368,blue
I172037619,42.27282017,-71.06525771,purple
I172100750,42.28888647,-71.04944044,purple
I172002923,42.32030801,-71.05765038,green
I172080365,42.3274487,-71.08308075,blue
I172087159,42.29250268,-71.09600758,orange
I172099395,42.30537848,-71.06151356,purple
I172053385,42.29923318,-71.07414711,purple
I172080903,42.36438365,-71.06584776,yellow
I172035034,42.35143483,-71.06969334,yellow
I172046181,42.33543317,-71.05705378,green
I172083153,42.29926303,-71.07626513,orange
I172051463,42.30402156,-71.0645917,purple
I172080667,42.30098889,-71.12708146,red
I172046157,42.32872589,-71.08382217,blue
I172047049,42.3055212,-71.10843463,red
I172046787,42.28790635,-71.06199818,purple
I172016332,42.3655824,-71.0608703,yellow
I172104023,42.31688606,-71.0900119,blue
I172028915,42.328597,-71.08274741,blue
I172038197,42.35584319,-71.05527646,yellow
I172007359,42.29901488,-71.07481814,orange
I172024475,42.31484522,-71.07738943,blue
I172101599,42.3072701,-71.08696366,blue
I172069698,42.28515859,-71.09299006,orange
I172023511,42.30977065,-71.06699385,purple
I172046404,42.36394509,-71.05942841,yellow
I172076807,42.32104169,-71.07215291,blue
I172022640,42.28340547,-71.10118272,orange
I172052375,42.3350979,-71.10831222,blue
I172056152,42.27273548,-71.06792411,purple
I172103245,42.30839354,-71.06473124,purple
I172032868,42.34439568,-71.08632016,pink
I172079529,42.27237694,-71.07524224,orange
I172040765,42.28587471,-71.04247805,purple
I172012354,42.28187061,-71.08751152,orange
I172085796,42.35832299,-71.06278436,yellow
I172028859,42.32572097,-71.08220072,blue
I172072695,42.32067079,-71.06549474,blue
I172018606,42.30910324,-71.06259482,purple
I172000018,42.33059431,-71.05483844,green
I172008222,42.29489981,-71.08805852,orange
I172033812,42.34522836,-71.08537838,pink
I172020609,42.28897393,-71.06581547,purple
I172098862,42.31813522,-71.06763388,blue
I172059431,42.28921036,-71.06646501,purple
I172080125,42.31539445,-71.06860329,blue
I172084135,42.27925119,-71.09834772,orange
I172028563,42.27473005,-71.06438937,purple
I172089464,42.32018766,-71.11394827,red
I172021517,42.30600379,-71.06178187,purple
I172094913,42.310033,-71.060115,purple
I172050428,42.35254597,-71.05981712,yellow
I172022224,42.34695268,-71.05112684,green
I172096370,42.28102273,-71.08282988,orange
I172095929,42.28717863,-71.06390668,purple
I172011816,42.32006163,-71.09297076,blue
I172019350,42.33573516,-71.0292272,green
I172007161,42.31285547,-71.05809796,purple
I172096065,42.33010702,-71.04805651,green
I172060485,42.32483301,-71.10164757,red
I172023378,42.32696647,-71.06198607,green
I172032706,42.30711017,-71.07973011,blue
I172004049,42.29969646,-71.05715558,purple
I172072872,42.29519923,-71.05622834,purple
I172017654,42.33049422,-71.04342091,green
I172018811,42.33402461,-71.09039049,orange
I172107447,42.31353744,-71.05924913,purple
I172042191,42.30900916,-71.051081,purple
I172047925,42.32821952,-71.08082768,blue
I172072591,42.29025219,-71.06304942,purple
I172020747,42.34285169,-71.05427918,green
I172056979,42.36363208,-71.05464408,yellow
I172090296,42.30569111,-71.06164783,purple
I172055972,42.29977582,-71.06029763,purple
I172029559,42.28526024,-71.06444063,purple
I172033487,42.28528936,-71.07002973,purple
I172028206,42.32974821,-71.08454012,blue
I172007044,42.336793,-71.05047826,green
I172063989,42.2841954,-71.07157967,purple
I172094070,42.33229741,-71.03528115,green
I172063042,42.34862382,-71.08277637,pink
I172024272,42.33834866,-71.04495807,green
I172024684,42.29833262,-71.10768964,red
I172074888,42.34677042,-71.1053549,pink
I172065567,42.33704419,-71.09749044,blue
I172057991,42.33789449,-71.09306889,pink
I172031287,42.30870401,-71.06844484,purple
I172075904,42.30670301,-71.10726512,red
I172082819,42.31252546,-71.07389321,blue
I172094268,42.33598881,-71.07764721,pink
I172082252,42.320483,-71.061514,purple
I172013119,42.34017526,-71.06860354,pink
I172073145,42.32779976,-71.06771009,green
I172034422,42.30887534,-71.06601232,purple
